epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,319.86,1.34413,1.53979,0.85225,1.13307,0.60843,0.59817,0.59359,0.20797,0.65874,0.57991,0.63736,0.24682,2.26312,2.04781,1.32813,1.89817,0.001736,0.001736,0.001736
42,327.586,1.33208,1.59674,0.85233,1.11533,0.60249,0.57991,0.56712,0.20417,0.70795,0.54237,0.64559,0.22914,2.29203,2.30506,1.27418,1.96505,0.0017294,0.0017294,0.0017294
43,335.227,1.33017,1.57008,0.83179,1.10279,0.60275,0.59361,0.58869,0.20308,0.5403,0.57078,0.56591,0.22957,2.30559,2.28219,1.30484,1.95839,0.0017228,0.0017228,0.0017228
44,342.909,1.31464,1.56114,0.83028,1.11579,0.64211,0.48336,0.51511,0.17681,0.75743,0.45626,0.57323,0.20786,2.24725,2.30562,1.4386,1.91117,0.0017162,0.0017162,0.0017162
45,350.498,1.31328,1.56092,0.82175,1.10353,0.56941,0.53881,0.54076,0.19286,0.67413,0.47945,0.57276,0.21721,2.2029,2.19088,1.39024,1.89354,0.0017096,0.0017096,0.0017096
46,358.188,1.31724,1.53882,0.80918,1.11418,0.58194,0.54027,0.53818,0.20898,0.5969,0.55708,0.58199,0.21863,2.22685,2.20783,1.39355,1.91864,0.001703,0.001703,0.001703
47,365.749,1.30286,1.52321,0.82101,1.10479,0.48109,0.54795,0.45212,0.15753,0.50775,0.54338,0.51676,0.17586,2.25774,2.33805,1.52001,1.90806,0.0016964,0.0016964,0.0016964
48,373.355,1.2776,1.47794,0.80864,1.0935,0.63486,0.55251,0.57375,0.1987,0.69345,0.51142,0.59023,0.22486,2.32634,2.22253,1.40114,2.03916,0.0016898,0.0016898,0.0016898
49,380.961,1.27678,1.5143,0.79224,1.08658,0.67013,0.55708,0.61716,0.21446,0.69102,0.54795,0.61899,0.24065,2.21725,2.23324,1.36076,1.87902,0.0016832,0.0016832,0.0016832
50,388.751,1.26396,1.50348,0.78427,1.07651,0.66769,0.57078,0.56214,0.20144,0.6651,0.56621,0.63147,0.23788,2.28528,2.32864,1.33862,1.98969,0.0016766,0.0016766,0.0016766
