epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,354.939,1.31782,1.52324,0.8365,1.10404,0.57477,0.54795,0.55587,0.19997,0.55956,0.56271,0.57055,0.2176,2.25058,2.28093,1.38615,1.87721,0.0012278,0.0012278,0.0012278
41,362.592,1.25745,1.48509,0.8034,1.0857,0.59704,0.54795,0.57789,0.20355,0.72027,0.47029,0.58226,0.22953,2.26129,2.2311,1.29944,1.95408,0.001208,0.001208,0.001208
42,370.112,1.26812,1.52229,0.79827,1.08383,0.62517,0.57881,0.60809,0.21648,0.59394,0.55708,0.58887,0.22983,2.18071,2.53948,1.32409,1.82482,0.0011882,0.0011882,0.0011882
43,377.82,1.24149,1.49571,0.77058,1.06566,0.65578,0.50685,0.56304,0.20219,0.67352,0.46575,0.57844,0.23107,2.33584,2.31059,1.28642,2.01667,0.0011684,0.0011684,0.0011684
44,385.403,1.26568,1.48545,0.77084,1.08214,0.64323,0.53425,0.5675,0.21672,0.74864,0.53041,0.61339,0.24679,2.30775,2.44756,1.26331,1.95397,0.0011486,0.0011486,0.0011486
45,393.028,1.23924,1.47825,0.75951,1.06878,0.609,0.62587,0.65796,0.23638,0.63092,0.60884,0.65367,0.25901,2.20544,2.21688,1.26307,1.9057,0.0011288,0.0011288,0.0011288
46,400.806,1.23125,1.46906,0.75421,1.06789,0.5415,0.60731,0.55626,0.20668,0.58429,0.56164,0.57827,0.23387,2.28486,2.16743,1.33076,1.92964,0.001109,0.001109,0.001109
47,408.309,1.20927,1.45595,0.74991,1.05584,0.65311,0.55022,0.59415,0.20031,0.6652,0.57991,0.62034,0.23704,2.44025,2.19619,1.27643,2.03389,0.0010892,0.0010892,0.0010892
48,415.847,1.1758,1.40065,0.72904,1.05019,0.58862,0.58904,0.55478,0.18891,0.65156,0.55251,0.59541,0.22838,2.37479,2.25236,1.35909,2.04505,0.0010694,0.0010694,0.0010694
49,423.359,1.1836,1.4181,0.71962,1.04111,0.67043,0.54805,0.61828,0.22228,0.68935,0.54716,0.61306,0.24707,2.25901,2.25614,1.24539,1.93094,0.0010496,0.0010496,0.0010496
50,430.993,1.17866,1.4202,0.72301,1.03542,0.69629,0.52511,0.58857,0.20779,0.69516,0.51598,0.59539,0.23483,2.25347,2.23413,1.32872,1.94402,0.0010298,0.0010298,0.0010298
